iter	Logloss
0	0.6734294604
1	0.6549247488
2	0.6368166025
3	0.6191488756
4	0.6023898716
5	0.5859089109
6	0.569868239
7	0.5545781324
8	0.5396588662
9	0.5253697989
10	0.5115996003
11	0.4982973254
12	0.4853098618
13	0.4728304638
14	0.4606709278
15	0.4488478051
16	0.43749375
17	0.4264704896
18	0.4157790514
19	0.4055532407
20	0.3954249926
21	0.3858449657
22	0.376351002
23	0.3674257324
24	0.358776544
25	0.3504330533
26	0.3423693024
27	0.3345620308
28	0.3266823512
29	0.3193740317
30	0.3123115125
31	0.305460316
32	0.298665547
33	0.2922554277
34	0.2859922381
35	0.2799584677
36	0.2740719851
37	0.2684358751
38	0.2630585967
39	0.2578490466
40	0.2525832374
41	0.2475009345
42	0.2425685221
43	0.2380414181
44	0.2335464479
45	0.2292941298
46	0.2251727618
47	0.2210014574
48	0.2170624132
49	0.2133503432
50	0.2097464411
51	0.2060759403
52	0.2027086665
53	0.1993327989
54	0.1961673618
55	0.1931135495
56	0.190148149
57	0.1872299881
58	0.1844665305
59	0.1816623798
60	0.1789862525
61	0.1764359469
62	0.1739140282
63	0.1714230987
64	0.1691325642
65	0.1669069831
66	0.1646261394
67	0.1625418543
68	0.1604356281
69	0.1583604535
70	0.1564432536
71	0.1546206171
72	0.1528439393
73	0.1510039721
74	0.1493450115
75	0.1477104221
76	0.1460728452
77	0.1444418317
78	0.1428496489
79	0.141324835
80	0.1399388216
81	0.1384881429
82	0.1371876778
83	0.1358210727
