iter	Passed	Remaining
0	362	108430
1	672	100239
2	1003	99345
3	1312	97124
4	1621	95639
5	1943	95212
6	2243	93896
7	2542	92795
8	2832	91580
9	3137	90994
10	3408	89562
11	3684	88422
12	3988	88061
13	4281	87457
14	4563	86715
15	4856	86205
16	5147	85684
17	5408	84733
18	5683	84057
19	5981	83734
20	6259	83160
21	6544	82699
22	6822	82161
23	7096	81609
24	7394	81338
25	7664	80772
26	7938	80268
27	8238	80035
28	8534	79754
29	8800	79202
30	9074	78740
31	9345	78268
32	9631	77924
33	9915	77577
34	10190	77156
35	10480	76859
36	10775	76591
37	11074	76353
38	11386	76199
39	11682	75935
40	11980	75684
41	12275	75407
42	12544	74973
43	12824	74614
44	13122	74359
45	13406	74026
46	13693	73712
47	13968	73336
48	14262	73058
49	14529	72648
50	14805	72284
51	15098	72007
52	15404	71791
53	15709	71564
54	16030	71410
55	16324	71128
56	16620	70856
57	16897	70503
58	17165	70117
59	17440	69762
60	17725	69447
61	18006	69120
62	18283	68780
63	18564	68455
64	18853	68162
65	19126	67811
66	19404	67481
67	19665	67093
68	19956	66812
69	20244	66517
70	20515	66168
71	20773	65782
72	21048	65452
73	21347	65196
74	21630	64890
75	21905	64563
76	22209	64322
77	22480	63983
78	22750	63643
79	23037	63354
80	23316	63041
81	23611	62771
82	23888	62456
83	24165	62139
