number,value,params_depth,params_learning_rate,params_score_function,state,datetime_start,datetime_complete
0,0.5732609883664546,7,0.19525029088497076,L2,COMPLETE,2025-05-21 23:52:49.861111,2025-05-21 23:54:35.968733
1,0.5787369220947648,7,0.1615722304363613,Cosine,COMPLETE,2025-05-21 23:54:35.970578,2025-05-21 23:56:41.091253
2,0.5789620827980864,6,0.1895828212169723,Cosine,COMPLETE,2025-05-21 23:56:41.093309,2025-05-21 23:58:43.431031
3,0.5785552293607585,10,0.1933090135285119,Cosine,COMPLETE,2025-05-21 23:58:43.432974,2025-05-22 00:00:41.762200
4,0.5778593863622559,10,0.052612721183567385,L2,COMPLETE,2025-05-22 00:00:41.764523,2025-05-22 00:02:42.889782
5,0.5773957363320629,9,0.04070186083076298,L2,COMPLETE,2025-05-22 00:02:42.890893,2025-05-22 00:04:31.996582
6,0.5767211477595712,5,0.1507614317653394,L2,COMPLETE,2025-05-22 00:04:31.999064,2025-05-22 00:06:26.156400
7,0.5806326800975476,7,0.024132381603116745,L2,COMPLETE,2025-05-22 00:06:26.158596,2025-05-22 00:08:34.002319
8,0.5780274525013632,4,0.10093614137508779,L2,COMPLETE,2025-05-22 00:08:34.004148,2025-05-22 00:10:35.021332
9,0.5779376675127195,4,0.03617910997154904,Cosine,COMPLETE,2025-05-22 00:10:35.023229,2025-05-22 00:12:30.789072
10,0.577722612088642,8,0.28328281622628704,L2,COMPLETE,2025-05-22 00:12:30.790768,2025-05-22 00:14:24.128107
11,0.5779463295706726,6,0.28168439430448966,Cosine,COMPLETE,2025-05-22 00:14:24.129898,2025-05-22 00:16:10.659292
12,0.5772314062075382,6,0.10414464569040734,Cosine,COMPLETE,2025-05-22 00:16:10.661164,2025-05-22 00:18:08.334526
13,0.5772769901843123,6,0.23880218468845554,Cosine,COMPLETE,2025-05-22 00:18:08.336200,2025-05-22 00:19:57.363688
14,0.5782859957437106,8,0.09743560127892503,L2,COMPLETE,2025-05-22 00:19:57.365714,2025-05-22 00:22:03.064076
15,0.5767329055396111,5,0.22543158204757388,Cosine,COMPLETE,2025-05-22 00:22:03.066216,2025-05-22 00:23:52.506145
16,0.5794348245088592,7,0.1589869426920862,L2,COMPLETE,2025-05-22 00:23:52.508164,2025-05-22 00:25:58.288629
17,0.5764121524290917,8,0.12725102415610057,L2,COMPLETE,2025-05-22 00:25:58.290791,2025-05-22 00:27:52.531409
18,0.5764779800196149,9,0.01380692371252508,L2,COMPLETE,2025-05-22 00:27:52.533524,2025-05-22 00:29:44.034818
19,0.5773338727081877,7,0.06866595343787375,L2,COMPLETE,2025-05-22 00:29:44.037029,2025-05-22 00:31:38.922959
20,0.5745872708253335,7,0.16025330595619894,L2,COMPLETE,2025-05-22 00:31:38.924904,2025-05-22 00:33:18.001127
21,0.5725211030139457,6,0.20371721397475526,Cosine,COMPLETE,2025-05-22 00:33:18.003078,2025-05-22 00:34:55.377361
22,0.5780294547485497,5,0.13814941872378436,L2,COMPLETE,2025-05-22 00:34:55.379392,2025-05-22 00:36:48.886627
23,0.5765680833970627,7,0.17850532122739263,Cosine,COMPLETE,2025-05-22 00:36:48.888351,2025-05-22 00:38:47.267763
24,0.5727676384286978,8,0.24319255696142364,L2,COMPLETE,2025-05-22 00:38:47.269729,2025-05-22 00:40:23.813445
25,0.5782548616584963,6,0.11696454701700296,L2,COMPLETE,2025-05-22 00:40:23.815383,2025-05-22 00:42:14.717621
26,0.5781509441606932,5,0.21392410721012386,Cosine,COMPLETE,2025-05-22 00:42:14.719818,2025-05-22 00:44:18.593755
27,0.5765327764511535,9,0.07419999893822288,L2,COMPLETE,2025-05-22 00:44:18.595550,2025-05-22 00:46:12.480310
28,0.5734258752333905,6,0.17836432814376973,Cosine,COMPLETE,2025-05-22 00:46:12.482624,2025-05-22 00:47:52.546307
29,0.5793911746112941,7,0.01058678703132797,L2,COMPLETE,2025-05-22 00:47:52.548104,2025-05-22 00:49:59.391110
